batch_no,classifier,accuracy,recall_0,recall_4,precision_0,precision_4,f1_0,f1_4,batch_size
1,PA,0.6695,0.6314199395770392,0.7070506454816285,0.6800433839479393,0.660482374768089,0.6548302872062662,0.6829736211031174,10000
1,NB,0.7835,0.7844914400805639,0.7825223435948362,0.7805611222444889,0.7864271457085829,0.7825213460572576,0.7844698855151817,10000
1,SGD,0.6695,0.5770392749244713,0.7606752730883813,0.7039312039312039,0.6458684654300169,0.6342003320420586,0.6985864113087096,10000
2,PA,0.6945,0.7014492753623188,0.6870466321243524,0.7062256809338522,0.6820987654320988,0.7038293746970431,0.6845637583892618,10000
2,NB,0.7865,0.8,0.772020725388601,0.7900763358778626,0.782563025210084,0.7950072011521845,0.7772561293688055,10000
2,SGD,0.715,0.7043478260869566,0.7264248704663212,0.7341389728096677,0.6961271102284012,0.7189349112426036,0.7109533468559838,10000
3,PA,0.72,0.6673469387755102,0.7705882352941177,0.7364864864864865,0.7068345323741008,0.7002141327623126,0.7373358348968105,10000
3,NB,0.798,0.7785714285714286,0.8166666666666667,0.8031578947368421,0.7933333333333333,0.7906735751295337,0.8048309178743962,10000
3,SGD,0.735,0.710204081632653,0.7588235294117647,0.7388535031847133,0.7315689981096408,0.724245577523413,0.7449470644850817,10000
4,PA,0.6975,0.6830708661417323,0.7123983739837398,0.7103377686796315,0.6852394916911045,0.696437531359759,0.698555057299452,10000
4,NB,0.776,0.7391732283464567,0.8140243902439024,0.80406852248394,0.7514071294559099,0.7702564102564103,0.7814634146341464,10000
4,SGD,0.742,0.6889763779527559,0.7967479674796748,0.7777777777777778,0.7127272727272728,0.7306889352818372,0.7523992322456814,10000
5,PA,0.689,0.6650148662041625,0.7134207870837538,0.7026178010471205,0.676555023923445,0.6832993890020367,0.6944990176817288,10000
5,NB,0.784,0.8206144697720515,0.7467204843592331,0.7673772011121409,0.8034744842562432,0.7931034482758621,0.7740585774058577,10000
5,SGD,0.7225,0.6977205153617443,0.7477295660948536,0.7379454926624738,0.7084130019120459,0.717269485481406,0.727540500736377,10000
6,PA,0.6845,0.6509528585757272,0.7178464606181456,0.6963519313304721,0.6741573033707865,0.6728875064800415,0.6953162723322067,10000
6,NB,0.7975,0.7622868605817452,0.8325024925224327,0.8189655172413793,0.7789179104477612,0.7896103896103897,0.8048192771084336,10000
6,SGD,0.735,0.6720160481444333,0.7976071784646062,0.7674684994272624,0.709849157054126,0.7165775401069518,0.7511737089201876,10000
7,PA,0.693,0.6771037181996086,0.7096114519427403,0.7090163934426229,0.677734375,0.6926926926926926,0.6933066933066934,10000
7,NB,0.786,0.7827788649706457,0.7893660531697342,0.7952286282306164,0.7766599597585513,0.7889546351084813,0.7829614604462475,10000
7,SGD,0.742,0.6986301369863014,0.787321063394683,0.7744034707158352,0.7142857142857143,0.7345679012345678,0.7490272373540857,10000
8,PA,0.703,0.6663316582914572,0.7393034825870647,0.7167567567567568,0.6911627906976744,0.690625,0.7144230769230769,10000
8,NB,0.782,0.7618090452261307,0.8019900497512438,0.7920585161964472,0.7727708533077661,0.7766393442622952,0.787109375,10000
8,SGD,0.743,0.6964824120603015,0.7890547263681592,0.7657458563535912,0.7242009132420091,0.7294736842105263,0.7552380952380952,10000
9,PA,0.701,0.6895200783545543,0.7129724208375894,0.7147208121827411,0.6876847290640394,0.7018943170488534,0.7001003009027081,10000
9,NB,0.792,0.7923604309500489,0.7916241062308478,0.7986179664363278,0.7852077001013171,0.7954768928220256,0.7884028484231944,10000
9,SGD,0.7435,0.7198824681684622,0.7681307456588355,0.764033264033264,0.7244701348747592,0.7413010590015129,0.7456618740704015,10000
10,PA,0.705,0.6941544885177453,0.7149712092130518,0.6912681912681913,0.7177263969171483,0.6927083333333334,0.7163461538461539,10000
10,NB,0.8045,0.8308977035490606,0.7802303262955854,0.7765853658536586,0.8338461538461538,0.8028240040342914,0.8061477441745167,10000
10,SGD,0.749,0.6795407098121086,0.8128598848368522,0.7695035460992907,0.7339688041594454,0.7217294900221729,0.7714025500910746,10000
11,PA,0.715,0.6656626506024096,0.7639442231075697,0.7366666666666667,0.6972727272727273,0.6993670886075949,0.7290874524714829,10000
11,NB,0.8105,0.7590361445783133,0.8615537848605578,0.8446927374301676,0.7828054298642534,0.7995769434161819,0.8202939781887151,10000
